	User	Histories	Behaviors
10	U10	B178400 B77143 B121449 B95717 B1121	B96619-0 B129839-0 B164076-0 B141511-0 B84624-0 B9098-0 B61135-0 B136835-0 B116926-1 B156320-0 B41612-0 B190822-1 B165928-0 B53384-0 B130863-0 B96726-0 B135019-0 B119615-0 B78739-0 B134557-0
11	U11	B148963 B131281 B12732 B28972 B125070	B192766-0 B54343-0 B104347-0 B42058-0 B49993-0 B127043-0 B128618-0 B26760-0 B135987-0 B100773-0 B106295-0 B158466-0 B124846-0 B78498-0 B158331-0 B103196-0 B97677-0 B193778-0 B183523-0 B112471-0
12	U12	B132630 B112769 B195917 B131829 B110345 B10225 B191604	B9599-0 B15538-0 B3208-0 B6546-0 B65047-0 B193580-0 B40065-0 B167772-0 B137826-0 B155398-0 B49881-0 B148819-0 B102243-0 B189806-0 B177327-0 B114610-0 B80016-0 B102177-0 B143877-0 B126043-0
13	U13	B143956 B109976 B40225 B149279 B112283 B200834	B116362-0 B135997-0 B138766-0 B28138-0 B33153-0 B132652-0 B200022-0 B138582-0 B22280-0 B144740-0 B161559-0 B166745-0 B164899-0 B153322-0 B4418-0 B206009-0 B102018-0 B96808-0 B76204-0 B136540-0
14	U14	B63427 B127491 B189503	B114487-0 B131504-0 B171176-0 B21680-0 B116903-0 B2356-0 B209756-0 B129236-0 B195100-0 B143310-0 B131596-0 B151754-0 B116148-0 B210215-0 B67305-0 B69717-0 B86250-0 B175637-0 B19174-0 B134994-0
15	U15	B7696 B68879 B193334 B136508	B12872-0 B155836-0 B209938-0 B64282-0 B96802-0 B38847-0 B165449-0 B887-0 B12872-0 B51231-0 B9182-0 B22339-0 B36687-0 B57498-0 B53987-0 B209840-0 B131624-0 B198777-0 B170935-0 B15129-0
16	U16	B29567 B15485 B170192 B22941 B85849 B152264 B68435	B17762-0 B172765-0 B102078-0 B97617-0 B28533-0 B79330-0 B31716-0 B146145-0 B13894-0 B47128-0 B21723-0 B25314-0 B68684-0 B117673-0 B37927-0 B51691-0 B160968-0 B20511-0 B163826-0 B142123-0
17	U17		
18	U18	B157157 B138548 B146793 B8552 B210405 B117183 B163030 B67744 B192558	B56794-0 B12010-0 B154707-0 B119722-0 B34182-0 B75380-0 B24815-0 B36171-0 B127683-0 B16298-0 B32466-0 B3779-0 B150454-0 B99802-0 B185147-0 B24182-0 B161930-0 B11728-0 B142503-0 B15045-0
19	U19	B171521 B22075 B5849 B90797 B53055 B66083 B47035 B199467 B146605 B56165	B100932-0 B75864-0 B45653-0 B176587-0 B17833-0 B196962-0 B47872-0 B29850-0 B93385-0 B70211-0 B75864-0 B16166-0 B21866-0 B109500-0 B52193-0 B13723-0 B12198-0 B113083-0 B95396-0 B68852-0
20	U20	B152524 B66457 B60000	B68500-0 B119680-0 B184656-0 B34688-0 B5146-0 B136789-0 B94392-0 B109487-0 B58780-0 B66124-0 B8221-0 B73531-0 B121147-0 B167560-0 B179399-0 B108895-0 B21634-0 B84202-0 B33818-0 B208211-0
21	U21	B6426 B45466 B138916	B28542-1 B75497-0 B4186-0 B17614-0 B15135-0 B151368-0 B171437-0 B182262-0 B103737-0 B148749-0 B33297-0 B156013-0 B31732-0 B54671-1 B153333-0 B33748-0 B157927-0 B50097-0 B3008-0 B76276-0
22	U22		
23	U23		
24	U24	B197659 B87237 B74435	B184346-0 B64095-0 B111227-0 B92347-0 B2210-0 B171930-0 B172012-0 B101557-0 B97929-0 B132108-0 B128226-0 B22065-0 B59722-0 B94441-0 B29411-0 B73267-0 B165490-0 B24925-0 B140409-0 B64389-0
25	U25	B186661 B42944 B63951	B201356-0 B66893-0 B64901-0 B164102-0 B158257-0 B94846-0 B76650-0 B85088-0 B153447-0 B64993-0 B145766-0 B164476-0 B135996-0 B177902-0 B114860-0 B44294-0 B87883-0 B157943-0 B210306-0 B95911-0
26	U26	B60759 B171684 B48172	B49440-0 B193580-0 B71807-0 B96399-1 B161300-0 B128263-0 B117069-0 B179068-0 B2974-0 B114912-0 B9972-1 B146793-0 B56596-0 B33213-0 B128499-0 B5830-0 B207954-0 B136802-0 B97408-0 B14508-0
27	U27	B20264 B169056	B71235-0 B81422-0 B68756-0 B208762-0 B71427-0 B12872-0 B2614-0 B155536-0 B158758-0 B154868-0 B60403-0 B197109-0 B126753-0 B8618-0 B20579-0 B177685-0 B64282-0 B17583-0 B72526-0 B205080-0
28	U28	B22764 B97624 B10258 B82913	B101239-0 B55852-0 B41159-0 B28012-0 B91982-0 B171446-0 B20803-0 B57371-0 B18956-0 B184692-0 B166109-0 B128694-0 B5592-0 B104086-0 B113191-0 B5552-0 B62936-0 B53790-0 B125557-0 B15307-0
29	U29	B166097 B184232 B187145 B4289 B131334 B139011	B140863-0 B148499-0 B120700-0 B59944-0 B112679-0 B3211-0 B108315-0 B140408-0 B177424-0 B106039-0 B175284-0 B64125-0 B181157-0 B31175-0 B210597-0 B99848-0 B98560-0 B198214-0 B148736-0 B174590-0
30	U30		
31	U31	B43083 B138812	B100608-0 B101448-0 B164449-0 B186219-0 B114731-0 B90936-0 B153908-0 B180483-0 B69392-0 B54885-0 B112062-0 B166475-0 B8954-0 B36960-0 B152965-0 B151771-0 B52386-0 B201290-0 B182913-0 B197234-0
32	U32	B148783 B120633 B161190 B22146	B72627-0 B128751-0 B36302-0 B43050-0 B59047-0 B63398-0 B161636-0 B11070-0 B151262-0 B148007-0 B4443-0 B157819-0 B153818-0 B169884-0 B206590-0 B14033-0 B168220-0 B207954-0 B87048-0 B132824-0
33	U33	B117183 B110001 B175898 B95502 B177758 B11159 B154772	B166649-0 B35150-0 B79294-0 B118046-0 B129553-0 B136600-0 B46788-0 B142503-0 B202658-0 B1597-0 B200037-0 B52667-0 B52952-0 B40505-0 B120110-0 B48744-0 B125677-0 B38883-0 B91821-0 B94359-0
34	U34	B150772 B140142 B128944 B134634 B90240 B153947 B123403	B124754-0 B57397-0 B200979-0 B57710-0 B161626-0 B190273-0 B195400-0 B61708-0 B152645-0 B10746-0 B79165-0 B91821-0 B45142-0 B61198-0 B147141-0 B169323-0 B31564-0 B163889-0 B39753-0 B152509-0
35	U35	B111612 B160844 B33094	B80625-0 B134658-0 B190639-0 B211657-0 B87400-0 B172535-0 B5268-0 B87974-0 B56979-0 B61932-0 B166285-0 B189182-0 B2206-0 B46846-0 B136949-0 B69043-0 B144433-0 B7342-0 B52846-0 B17442-0
36	U36	B170568 B158825 B21880 B160648 B27983 B47926 B151848 B62948 B49570 B44501	B11924-0 B166809-0 B170082-0 B64384-1 B76339-0 B32597-1 B201447-0 B193610-0 B19273-0 B76244-0 B207389-0 B119574-0 B204357-0 B196888-0 B163787-0 B127491-1 B135621-0 B196012-0 B164620-0 B36113-0
37	U37	B78498 B6179 B4383	B50542-0 B16712-0 B196367-0 B19641-0 B19908-0 B74687-0 B135002-0 B107843-0 B80832-0 B5772-0 B113696-0 B10047-0 B158343-0 B113845-0 B162363-0 B2770-0 B40645-0 B8019-0 B149607-0 B33622-0
38	U38	B149131 B197911 B59444 B204940 B8552 B80198 B187027	B176951-0 B25441-0 B70043-0 B209239-0 B3758-0 B71039-0 B47049-0 B19378-0 B155268-0 B192024-0 B157022-0 B160493-0 B46221-0 B18248-0 B87803-0 B51339-0 B190858-0 B160844-0 B109828-0 B105667-0
39	U39	B185051 B198549 B85138	B59495-0 B150165-0 B159744-0 B64125-0 B59746-0 B28910-0 B43263-0 B97929-0 B35652-0 B126560-0 B87471-0 B122672-0 B113671-0 B1745-0 B144285-0 B11339-0 B175389-0 B190959-0 B25903-0 B22743-0
40	U40	B196118 B88532 B143990 B80016	B152203-0 B106025-0 B197734-0 B61309-0 B158602-0 B174600-0 B20447-0 B154918-0 B173781-0 B60131-0 B179399-0 B166158-0 B28304-0 B5552-0 B55121-0 B143353-0 B24595-0 B132199-0 B173939-0 B87857-0
41	U41	B78734 B170050 B35426 B134515 B203041 B155893 B187561	B3211-0 B50073-0 B79294-0 B143492-0 B177353-0 B141091-0 B211627-0 B207366-0 B189648-0 B149319-0 B112060-0 B147283-0 B185924-0 B160676-0 B114034-0 B29290-0 B205496-0 B158771-0 B59383-0 B112967-0
42	U42		
43	U43	B36853 B172438 B153193 B16070 B7791 B22280 B49154 B109251 B152816 B28027 B163534 B159025 B202538	B147811-0 B47650-0 B16664-0 B754-1 B91603-0 B159261-0 B206385-0 B36930-0 B144873-0 B144624-0 B86985-0 B6364-0 B155398-0 B107176-0 B146426-0 B24238-1 B162501-0 B59929-0 B40777-0 B76377-0
44	U44	B95489 B93811 B35244 B106285 B133782 B187033 B32826 B101577 B67446	B66663-0 B149950-0 B122218-0 B171437-0 B124868-0 B11695-0 B173781-0 B192474-0 B56566-0 B144894-0 B30414-0 B16129-0 B16388-0 B198866-0 B74137-0 B34258-0 B6080-0 B53820-0 B52620-0 B150928-0
45	U45	B35680 B128648 B155030 B102899 B132840 B58921 B32242 B158740 B204628 B166885 B143876 B136286 B127268	B188940-0 B105741-0 B204797-0 B168447-0 B186656-0 B154642-0 B140739-0 B191777-0 B183947-0 B71978-0 B170854-0 B94467-0 B158331-0 B85130-0 B38879-0 B49424-0 B100753-0 B149601-0 B101152-0 B26130-0
46	U46	B144113 B55852 B84133	B74417-0 B84111-0 B168382-0 B183099-0 B96781-0 B115889-0 B93291-0 B160929-0 B126962-0 B35469-0 B129000-0 B153144-0 B42295-0 B57744-0 B156799-0 B157005-0 B137665-0 B27361-0 B187390-0 B132263-0
47	U47	B24919 B199149 B136803 B207350 B208636	B9333-0 B82368-0 B170385-0 B57846-0 B137749-0 B134821-1 B126047-0 B107176-0 B198790-0 B190657-1 B111628-0 B56878-0 B74687-0 B118004-0 B51403-0 B29697-0 B63629-0 B15719-0 B69699-0 B111554-0
48	U48	B104333 B55438 B73210 B110794 B35733	B68066-0 B133326-0 B114598-0 B182322-0 B182433-0 B28089-0 B111830-0 B19654-0 B188333-0 B40222-0 B129110-0 B120816-0 B9173-0 B211074-0 B121451-0 B104495-0 B161241-0 B150444-0 B58422-0 B13615-0
49	U49	B146478 B41215 B196118 B162056	B9374-0 B168244-0 B27013-0 B180074-0 B37024-0 B51702-0 B138547-0 B35330-0 B97180-0 B106537-0 B30621-0 B123720-0 B175904-0 B41399-0 B179974-0 B166415-0 B22359-0 B9575-0 B130908-0 B136286-0
50	U50	B143419 B112003 B132118 B48707	B105097-0 B47765-0 B113048-0 B132478-0 B21159-0 B163661-0 B115247-0 B35680-0 B109510-0 B62948-0 B18619-0 B136118-0 B113157-0 B152578-0 B63591-0 B8586-0 B155614-0 B130908-0 B48348-0 B126974-0
51	U51		
52	U52	B162841 B87682 B116723 B23221	B25220-0 B196209-0 B15163-0 B31851-0 B145334-0 B38903-0 B127895-0 B127420-0 B84356-0 B131085-0 B83083-0 B3623-0 B6718-0 B75775-0 B64164-0 B132778-0 B47321-0 B184370-0 B28467-0 B141159-0
53	U53	B153970 B165643 B115209	B139709-0 B210293-0 B21460-0 B151063-0 B191577-0 B156182-0 B90496-0 B57482-0 B30827-0 B120766-0 B36090-0 B159504-0 B190382-0 B129214-0 B202465-0 B78473-0 B11686-0 B57508-0 B181511-0 B152756-0
54	U54	B140702 B32389 B136522	B108895-0 B117270-0 B35794-0 B119215-0 B113253-0 B91340-0 B189648-0 B91537-0 B107419-0 B101633-0 B140338-0 B168256-0 B142871-0 B9098-0 B7768-0 B83681-0 B66120-0 B183250-0 B166460-0 B190822-0
55	U55	B47583 B49255 B160606 B59767 B144856 B1262	B168709-0 B17043-0 B65938-0 B104563-0 B113919-0 B44612-0 B105636-0 B38385-0 B111972-0 B185225-0 B53141-0 B73101-0 B119906-0 B166809-0 B185147-0 B45685-0 B198490-0 B133910-0 B166972-0 B67478-0
56	U56	B24924 B75688 B195573	B48067-0 B4174-0 B55947-0 B191149-0 B149778-0 B132350-0 B183417-0 B75799-0 B88303-0 B186796-0 B203041-0 B188793-0 B130215-0 B97041-0 B160027-0 B166507-0 B148287-0 B118502-0 B49905-0 B80022-0
57	U57	B22941 B193374 B146767	B135185-0 B99502-0 B149914-0 B62050-0 B144302-0 B123564-0 B102211-0 B21460-0 B86829-0 B14651-0 B150839-0 B57474-0 B121235-0 B34883-0 B96446-0 B190598-0 B107023-0 B98855-0 B118775-0 B82476-0
58	U58	B147283 B173781 B166513	B131439-0 B44947-0 B102058-0 B113036-0 B1881-0 B210086-0 B133185-0 B26157-0 B56256-0 B59785-0 B6117-0 B17341-0 B22075-0 B61980-0 B74417-0 B414-0 B104611-0 B23438-0 B120455-0 B170394-0
59	U59	B3113 B184534 B158380 B74344 B140155 B133658 B2662 B7924	B184686-0 B124082-0 B147127-0 B118730-0 B54781-0 B139661-0 B142123-0 B34751-0 B95806-0 B60131-0 B187345-0 B7809-0 B148509-0 B17096-0 B133395-0 B54727-0 B189558-0 B55311-0 B48966-0 B12140-0
60	U60	B191138 B60121 B121451	B128346-0 B138106-0 B1472-0 B154826-0 B11858-0 B197116-0 B24919-0 B91678-0 B1773-0 B1889-0 B141603-0 B163344-0 B206873-0 B88378-0 B61004-0 B11457-0 B49733-0 B140079-0 B71043-0 B104563-0
61	U61	B99133 B170050 B25875 B90463	B51749-0 B111701-0 B136202-0 B83122-0 B39198-0 B104347-0 B185583-0 B38178-0 B209115-0 B46033-0 B5445-0 B113906-0 B201216-0 B132840-0 B133615-0 B16811-0 B67754-0 B36493-0 B168646-0 B134734-0
62	U62	B129981 B75688 B29009 B83824 B5641 B96793 B158735 B61309	B3737-0 B134085-0 B59834-1 B78736-0 B135854-0 B59572-0 B65784-0 B55632-0 B147615-0 B112061-0 B62578-0 B192153-0 B40458-0 B186848-0 B72635-0 B136802-0 B89142-0 B15162-0 B204602-0 B101258-0
63	U63	B127268 B157546 B62559	B60693-0 B169151-0 B27125-0 B169394-0 B11198-0 B88252-0 B16444-0 B2091-0 B104772-0 B87974-0 B166243-0 B11400-0 B18956-0 B27349-0 B193250-0 B188923-0 B35072-0 B63010-0 B141172-0 B5267-0
64	U64	B115280 B63206 B13137 B70043 B55839 B17459 B56845 B125409 B82284	B181347-0 B145694-0 B189055-0 B150400-0 B116827-0 B48847-0 B3649-0 B5468-0 B75681-0 B4980-0 B99136-0 B167393-0 B30848-0 B170868-0 B165467-0 B155711-0 B39803-0 B25061-0 B162685-0 B135831-0
65	U65	B91705 B195811 B152865 B53603 B70281	B44020-0 B180247-0 B167073-0 B194616-0 B5733-0 B96726-0 B161636-0 B109756-0 B194762-0 B304-0 B205455-0 B93385-0 B122286-0 B42094-0 B211953-0 B205515-0 B163940-0 B46956-0 B26026-0 B159196-0
67	U67	B141973 B120324 B37449 B116641 B148509 B55861 B55252 B168087 B201043 B11548 B44330	B128178-0 B92515-0 B97811-0 B190568-0 B54781-0 B35193-0 B53052-0 B101846-0 B158602-0 B10600-0 B57591-0 B156882-0 B171348-0 B56656-0 B179642-0 B89582-0 B23115-0 B186497-0 B163927-0 B198641-0
68	U68	B119132 B6069 B134658	B170978-0 B151262-0 B183099-0 B119078-0 B171826-0 B130952-0 B193338-0 B179399-0 B48083-0 B12494-0 B103011-0 B11276-0 B128566-0 B153882-0 B72214-0 B149115-0 B43260-0 B115405-0 B40611-0 B196936-0
69	U69	B114983 B15547 B76822 B46839 B44333 B72627 B87326 B32455 B191011 B71186 B43078 B177902	B55787-0 B146238-0 B165312-0 B6138-0 B150531-0 B125466-0 B115687-0 B74435-0 B184647-0 B163826-0 B27383-0 B40341-0 B17899-0 B2556-0 B37380-0 B27385-0 B122898-0 B5585-0 B102798-0 B22069-0
70	U70	B170734 B146311 B50716	B147861-0 B113448-0 B192496-0 B201447-0 B92015-0 B132109-0 B153660-0 B141300-0 B184534-0 B72398-0 B24938-0 B60131-0 B150772-0 B104555-0 B47035-0 B12144-0 B203048-0 B108895-0 B151249-0 B23667-0
71	U71	B128944 B150772 B34120 B198365 B53243 B90240	B74381-0 B132938-0 B69517-0 B16559-0 B160101-0 B43231-0 B94385-0 B3340-0 B117824-0 B39078-0 B170944-0 B131189-0 B143687-0 B146078-0 B183828-0 B205080-0 B117615-0 B87956-0 B7610-0 B103497-0
72	U72	B53931 B73010 B18869 B133006	B41620-0 B83888-0 B72627-0 B98888-0 B179781-0 B198403-0 B129192-0 B127289-0 B76646-0 B143521-0 B67532-0 B191191-0 B73075-0 B104249-0 B186619-0 B14016-0 B133521-0 B182095-0 B49422-0 B46246-0
73	U73	B98120 B107334 B90119 B156215 B171034 B27300	B148478-0 B18248-0 B121311-0 B157447-0 B163940-0 B63257-0 B22309-0 B123911-0 B97674-0 B92858-0 B38419-0 B94262-0 B157749-0 B195562-0 B134734-0 B186570-0 B155268-0 B111682-0 B132377-0 B39985-0
74	U74	B94068 B130605 B156057	B41070-0 B19028-0 B17762-0 B120558-0 B107489-0 B29612-0 B42476-0 B14416-0 B70449-0 B86985-0 B192588-0 B97104-0 B48239-0 B92328-0 B113132-0 B183276-0 B202658-0 B2574-0 B132409-0 B187721-0
75	U75	B125615 B4679 B120324 B19634	B147248-0 B42214-0 B130863-0 B97067-0 B162133-0 B62215-0 B167834-0 B187497-0 B101222-0 B195309-0 B113249-0 B8168-0 B155544-0 B41991-0 B3072-0 B182776-0 B117183-0 B195562-0 B66120-0 B145979-0
76	U76	B73480 B162978 B107417 B144597 B118094 B118934 B201510	B188923-0 B116949-0 B210927-0 B167575-0 B104767-0 B175959-0 B68321-0 B169450-0 B173118-0 B77256-0 B22795-0 B121461-0 B61029-0 B37353-0 B12814-0 B14578-0 B24261-0 B170304-0 B147846-0 B74624-0
77	U77	B73531 B87237 B147754	B134091-0 B178069-0 B57498-0 B18590-0 B65758-0 B154998-0 B41896-0 B59467-0 B100773-0 B12620-0 B151225-0 B179851-0 B157921-0 B85088-0 B133859-0 B153154-0 B195230-0 B162610-0 B16162-0 B27796-0
78	U78	B176913 B183416 B54755 B119823	B118341-0 B53055-0 B74116-0 B5088-0 B158224-0 B56820-1 B2017-1 B136687-0 B132350-0 B135143-0 B172469-0 B170319-0 B159032-0 B111552-0 B82801-0 B134671-0 B151199-0 B62478-0 B87498-0 B145099-0
79	U79	B28542 B200125 B36113 B14863 B179409 B143876 B27983	B163170-0 B78846-1 B100731-0 B45602-0 B150772-0 B78734-0 B100753-0 B105005-0 B84877-0 B160493-1 B70041-0 B15123-0 B95144-0 B55267-0 B96886-0 B49677-0 B138481-0 B156930-0 B99805-1 B182267-0
80	U80	B154527 B209676 B129673 B144089 B47363 B161669 B102666 B120053	B185534-0 B139315-0 B136600-0 B132326-0 B193368-0 B11534-0 B141719-0 B54610-0 B19798-0 B10633-0 B187119-0 B191509-0 B207967-0 B111568-0 B106413-0 B209756-0 B39078-0 B188606-0 B51331-0 B160007-0
81	U81		
82	U82	B188673 B105027 B149937	B37865-0 B162672-0 B114711-0 B148353-0 B40606-0 B99511-0 B56646-0 B171446-0 B17305-0 B154986-0 B42214-0 B26760-0 B203230-0 B6418-0 B196404-0 B90489-0 B131242-0 B109161-0 B43957-0 B100753-0
83	U83	B5125 B24091 B11967 B40398	B109611-0 B209300-0 B183417-0 B7361-0 B196747-0 B9872-0 B49673-0 B21164-0 B72810-0 B166491-0 B76704-0 B54073-0 B62936-0 B127582-0 B80249-1 B185890-0 B166727-0 B47310-0 B68118-0 B123163-0
84	U84	B2407 B103957 B22500 B70043 B25601 B100879	B167462-0 B188940-0 B107604-0 B131716-0 B30832-0 B907-0 B194079-0 B163750-0 B197234-0 B108137-0 B144856-0 B51477-0 B162782-0 B165766-0 B73871-0 B51775-0 B133013-0 B201173-0 B40182-0 B133615-0
85	U85	B143923	B44275-0 B159745-0 B164202-0 B210658-0 B12953-0 B27084-0 B15594-0 B187027-0 B189805-0 B212195-0 B190503-0 B118730-0 B131716-0 B26760-0 B39486-0 B195764-0 B85488-0 B189302-0 B95057-0 B103070-0
86	U86	B198490 B70330 B53415 B26882 B138481 B89938	B2702-0 B7089-0 B152264-0 B113791-1 B156799-1 B138982-0 B36926-0 B60831-1 B61204-0 B85586-0 B899-1 B70407-0 B66867-0 B37103-0 B134310-1 B130467-0 B172050-1 B174290-0 B78584-0 B47563-0
87	U87	B40065 B66925 B101942 B72294	B30472-0 B134816-0 B148052-0 B15228-0 B100932-0 B109976-0 B23548-0 B61088-0 B170279-0 B118124-0 B22914-0 B197052-0 B166430-0 B169376-0 B151551-0 B15719-0 B67548-0 B31912-0 B8326-0 B45618-0
88	U88	B95549 B153687 B99805	B101158-0 B107038-0 B82943-0 B64751-0 B14831-0 B161659-0 B95019-0 B143087-0 B164620-0 B7107-0 B130365-0 B94846-0 B110254-0 B98855-0 B123679-0 B119376-0 B115960-0 B34648-0 B26524-0 B105832-0
89	U89	B104831 B22941 B102892	B54073-0 B137008-0 B27983-0 B151225-0 B94828-0 B119481-0 B128329-0 B8168-0 B170812-0 B57032-0 B23613-0 B18998-0 B5772-0 B100501-0 B34741-0 B184590-0 B145334-0 B18464-0 B180496-0 B25207-0
90	U90	B59584 B141091 B196934 B166664 B64226	B157391-0 B197116-0 B167533-0 B199315-0 B202660-0 B84243-0 B199338-0 B170192-0 B80141-0 B78132-0 B5695-0 B106716-0 B5110-0 B72888-0 B80431-0 B161932-0 B75655-0 B123152-0 B92510-0 B168122-0
91	U91	B162933 B152621 B9409 B145491 B65631 B198777	B154659-0 B188923-0 B66978-0 B100066-0 B149751-0 B147811-0 B131847-0 B74958-0 B150556-0 B25314-0 B136475-0 B147861-0 B178-1 B98206-0 B166365-0 B85488-0 B182249-1 B84437-0 B36996-0 B123314-0
92	U92	B10633 B25561 B96793 B127972	B56435-0 B30513-0 B100404-0 B115613-0 B176980-0 B62478-0 B68874-0 B185225-0 B55549-0 B148306-0 B84243-0 B31497-0 B35680-0 B95019-0 B38883-0 B40548-0 B188004-0 B112421-0 B140578-0 B175321-0
93	U93	B173086 B154998 B185218 B203203	B207229-0 B194222-0 B49519-0 B78846-0 B186848-0 B56044-0 B189554-0 B131829-0 B159504-0 B21082-0 B793-0 B194712-0 B65903-0 B42649-0 B190927-0 B35249-0 B125348-0 B79123-0 B12953-0 B117149-0
94	U94		
95	U95	B38833 B70675 B132152 B109110 B69512 B3241	B147055-0 B172334-0 B66131-0 B191249-0 B187417-0 B23005-0 B60831-0 B94965-0 B41437-0 B40548-0 B169450-0 B101052-0 B457-0 B178-0 B113241-0 B178570-0 B211691-0 B6903-0 B133391-0 B164985-0
96	U96	B56389 B16660 B125015 B120347 B169346	B15900-0 B185101-0 B97886-0 B140748-0 B38274-0 B50716-0 B57498-0 B177416-0 B117598-0 B63206-0 B124136-0 B55578-0 B185825-0 B1555-0 B202621-0 B90206-0 B117217-0 B61175-0 B104808-0 B30609-0
97	U97	B20379 B132152 B95959 B199059 B68042 B33435 B189427 B17798 B127446	B171014-0 B148376-0 B206585-0 B95911-0 B121577-0 B208157-0 B91637-0 B197740-0 B103011-0 B6528-0 B200921-0 B140243-0 B161626-0 B202570-0 B57371-0 B15698-0 B100897-0 B149319-0 B47832-0 B76724-0
98	U98	B130512 B32265 B81756 B160007 B163889	B156912-0 B124182-0 B604-0 B177349-0 B16468-0 B62740-0 B167834-0 B135173-0 B30545-0 B45737-0 B5592-0 B120021-0 B72475-0 B24558-0 B51824-0 B80625-0 B164804-0 B32620-0 B41942-0 B97442-0
99	U99	B18034 B61571 B31401 B128923	B39564-0 B107022-0 B170221-0 B183476-0 B113858-0 B127308-0 B108146-0 B46150-0 B36826-0 B119146-0 B82166-0 B136389-0 B155242-0 B179781-0 B134806-0 B164472-0 B142700-0 B106059-0 B198275-0 B103070-0
100	U100	B70890 B88676 B17162 B194553 B165281	B155888-0 B61198-0 B155485-0 B73283-0 B24644-0 B145207-0 B181284-0 B120880-0 B26789-0 B189017-0 B160806-0 B66991-0 B86110-0 B77773-0 B184063-0 B131516-0 B208523-0 B80764-0 B193480-0 B101980-0
102	U102	B162280 B97545 B59158 B10762 B132148 B95751	B8593-0 B117069-0 B75112-0 B102868-0 B105141-0 B93062-0 B208316-0 B77349-0 B44294-0 B200350-0 B50542-0 B85453-0 B101052-0 B189427-0 B97142-0 B124868-0 B30895-0 B211207-0 B140192-0 B154193-0
104	U104	B60957 B171771 B121657 B21771 B192474 B191583 B55756	B53052-0 B46826-0 B135186-0 B101325-0 B72627-0 B30223-0 B161995-0 B74193-0 B59842-0 B102243-0 B73574-0 B137908-0 B47992-0 B34329-0 B204149-0 B151261-0 B150506-0 B177351-0 B6589-0 B129647-0
105	U105	B149651 B123163 B18845 B169450 B15017	B57402-0 B162580-0 B186360-0 B180855-0 B166439-0 B65214-0 B9397-0 B135054-0 B149778-0 B38792-0 B48263-0 B38883-0 B35794-0 B196367-0 B209037-0 B54085-0 B138443-0 B158466-0 B186570-0 B175290-0
106	U106	B6332 B143889 B142852 B80002	B101558-0 B173709-0 B117920-0 B74067-0 B34519-0 B155603-0 B59310-0 B184268-0 B198954-0 B164192-0 B130863-0 B98769-0 B136472-0 B133763-0 B67781-0 B177181-0 B174787-0 B70449-0 B202147-0 B98974-0
