User,Entities
U33,"['Q4167836', 'Q412770']"
U34,"['Q650689', 'Q3402263', 'Q5084', 'Q23064']"
U35,"['Q19100', 'Q1424825', 'Q538998']"
U36,"['Q6542551', 'Q1176577', 'Q46', 'Q1145497']"
U37,['Q7376362']
U38,"['Q852590', 'Q755441', 'Q21492385', 'Q3543591']"
U39,"['Q1132695', 'Q76465099', 'Q9820']"
U40,"['Q844482', 'Q106465', 'Q114581275', 'Q783794']"
U41,"['Q16277155', 'Q970397', 'Q148', 'Q1791251', 'Q48674419', 'Q106039', 'Q21590660']"
U42,['Q16865943']
U43,"['Q618779', 'Q316', 'Q794', 'Q846570', 'Q7204']"
U44,"['Q186190', 'Q132041', 'Q33979', 'Q7565', 'Q13258171']"
U45,"['Q29317', 'Q27716911', 'Q6888591', 'Q302', 'Q5043']"
U46,"['Q1444', 'Q380342', 'Q573', 'Q17070', 'Q11660', 'Q9168', 'Q525', 'Q397', 'Q3930289']"
U47,"['Q2', 'Q2743596', 'Q51', 'Q1555938', 'Q2224233']"
U48,"['Q391682', 'Q89759373', 'Q16423696']"
U49,"['Q186361', 'Q7737', 'Q106465']"
U50,"['Q86050484', 'Q16836032', 'Q1840507', 'Q134307', 'Q483501', 'Q90214429']"
U51,"['Q8845927', 'Q29639025', 'Q7858391']"
U52,"['Q145', 'Q51883323', 'Q473252']"
U53,"['Q74359', 'Q12213265']"
U54,"['Q7560', 'Q308194', 'Q193462', 'Q20']"
U55,"['Q875262', 'Q4925623', 'Q16555', 'Q1439', 'Q812', 'Q750186']"
U56,"['Q289957', 'Q224989']"
U57,"['Q42040', 'Q7988152', 'Q1370', 'Q1391', 'Q993475', 'Q3445824']"
U58,"['Q220018', 'Q187765', 'Q101095875']"
U59,"['Q519787', 'Q1321']"
U60,"['Q699612', 'Q7608372']"
U61,"['Q987767', 'Q629570']"
U62,"['Q3177118', 'Q14317024', 'Q12819497', 'Q1332286', 'Q170028', 'Q4']"
U63,"['Q4489450', 'Q24456456', 'Q86873198']"
U64,"['Q7559', 'Q2362626', 'Q181907']"
U65,"['Q170486', 'Q76409']"
U66,[]
U67,"['Q8068290', 'Q466459', 'Q48438', 'Q207515', 'Q112524003', 'Q3296143', 'Q272706']"
U68,"['Q1490', 'Q1339', 'Q181014', 'Q106782813', 'Q45581', 'Q2737173', 'Q38']"
U69,"['Q159313', 'Q7590', 'Q309100', 'Q31418722']"
U70,"['Q1368', 'Q37517400', 'Q236727', 'Q25330', 'Q1408']"
U71,"['Q650689', 'Q3402263', 'Q30932006', 'Q40131371', 'Q3470570']"
U72,"['Q2603416', 'Q1475036', 'Q104444']"
U73,"['Q11472', 'Q2994840', 'Q18047309', 'Q13406554', 'Q1691276']"
U74,['Q1761222']
U75,['Q48438']
U76,"['Q165', 'Q18498', 'Q1784981', 'Q383573', 'Q20572322', 'Q16871867', 'Q45529']"
U77,"['Q23445', 'Q1088', 'Q8261', 'Q55800', 'Q2980154', 'Q3363340', 'Q14639649']"
U78,"['Q1860', 'Q179718', 'Q13224629', 'Q478240']"
U79,"['Q145', 'Q7048121', 'Q214371', 'Q80967', 'Q60', 'Q18710697', 'Q28084844', 'Q142', 'Q26158', 'Q1152184']"
U80,"['Q132311', 'Q1993601']"
U81,['Q476871']
U82,['Q12280']
U83,"['Q7143600', 'Q483978', 'Q37302', 'Q4927937', 'Q99441275', 'Q56139', 'Q178885']"
U84,"['Q12791', 'Q132', 'Q1691383', 'Q654679', 'Q150225']"
U85,"['Q219377', 'Q52264288']"
U86,"['Q2095', 'Q64528814', 'Q79947441', 'Q112983', 'Q8253', 'Q289957', 'Q2991051', 'Q9684', 'Q155656', 'Q36180', 'Q26839994', 'Q4707629']"
U87,"['Q236', 'Q40131371', 'Q34467', 'Q231043', 'Q7839732', 'Q3177043', 'Q1192805']"
U88,"['Q2', 'Q2085316']"
U89,"['Q112078109', 'Q308993']"
U90,"['Q107029861', 'Q6585139', 'Q180445', 'Q843382', 'Q846570', 'Q112444304']"
U91,"['Q42165', 'Q7243', 'Q692', 'Q9531', 'Q131333', 'Q5538960', 'Q184368', 'Q112513', 'Q2578531', 'Q21', 'Q846570']"
U92,"['Q5245481', 'Q458982', 'Q4', 'Q1323801', 'Q428755', 'Q1294105']"
U93,"['Q108140545', 'Q15051752']"
U94,['Q4688043']
U95,"['Q22715', 'Q1136388', 'Q189']"
U96,"['Q80370', 'Q16868672', 'Q3231912', 'Q351156', 'Q16869404', 'Q1158139', 'Q163872']"
U97,"['Q14864328', 'Q1262007', 'Q511593', 'Q1310304', 'Q20', 'Q7414', 'Q1242174']"
U98,"['Q51406', 'Q145']"
U99,"['Q634', 'Q2800825', 'Q7764350', 'Q5253456']"
U100,"['Q619851', 'Q280898', 'Q1882', 'Q61509', 'Q1068487', 'Q204170']"
U101,[]
U102,"['Q689894', 'Q47607']"
U103,[]
U104,"['Q23009442', 'Q289', 'Q258', 'Q11409', 'Q65', 'Q1135315', 'Q667', 'Q5929383', 'Q5', 'Q4028']"
U105,"['Q12791', 'Q1998865', 'Q12826225', 'Q15228', 'Q3570980', 'Q3746599', 'Q177329', 'Q683', 'Q3612348', 'Q208870', 'Q1354011', 'Q892', 'Q160232', 'Q3959300', 'Q3645285', 'Q81741', 'Q3932052', 'Q2488257', 'Q318845']"
U106,"['Q177414', 'Q7378', 'Q667']"
U107,"['Q1931816', 'Q1251403', 'Q6733923', 'Q85', 'Q50868', 'Q13955']"
U108,[]
U109,"['Q1682564', 'Q1231428']"
U110,['Q199']
U111,"['Q20671646', 'Q384188', 'Q810', 'Q14639649', 'Q481809']"
U112,"['Q945895', 'Q1314', 'Q6992413', 'Q1860', 'Q220078', 'Q1836777']"
U113,"['Q78732679', 'Q66741638', 'Q145']"
U114,"['Q37058415', 'Q387253', 'Q1254342', 'Q16872070', 'Q3303598', 'Q6088', 'Q15090']"
U115,"['Q3566006', 'Q213861', 'Q4489450', 'Q53060', 'Q12800811']"
U116,"['Q313129', 'Q900406', 'Q60846795', 'Q842438', 'Q106660494', 'Q131333', 'Q316']"
U117,[]
U118,['Q2472587']
U119,"['Q23400', 'Q20916885', 'Q6497468', 'Q749311', 'Q265868', 'Q25433322', 'Q43202', 'Q2715076', 'Q42968985']"
U120,"['Q541194', 'Q1682564', 'Q3056940', 'Q3052483', 'Q36322']"
U121,"['Q3402263', 'Q813449']"
U122,"['Q12826225', 'Q19866947', 'Q394970', 'Q15228', 'Q74359', 'Q4465', 'Q2630981', 'Q275863', 'Q280608', 'Q34023', 'Q11975560', 'Q219498', 'Q892', 'Q79734', 'Q294833', 'Q79762', 'Q46847']"
U123,"['Q19100', 'Q1424825', 'Q1126556', 'Q21827', 'Q106395550']"
U124,"['Q172008', 'Q15104925', 'Q8864']"
U125,"['Q4167836', 'Q30873', 'Q73478884', 'Q35155', 'Q314215', 'Q171091', 'Q412770']"
U126,"['Q19826118', 'Q6585139', 'Q489818', 'Q787674', 'Q90', 'Q176769']"
U127,"['Q1724539', 'Q10225']"
U128,"['Q145', 'Q36348', 'Q3914', 'Q186982', 'Q5727902']"
U129,"['Q23400', 'Q20916885', 'Q6497468', 'Q2896645']"
U130,"['Q190507', 'Q5614269', 'Q30', 'Q6119696', 'Q774', 'Q3089319', 'Q37230', 'Q66360146', 'Q6186', 'Q46041769', 'Q100274440', 'Q226045', 'Q664609', 'Q61740332', 'Q12585', 'Q27611', 'Q9916']"
U131,"['Q1394', 'Q211201', 'Q131007', 'Q1159', 'Q49542', 'Q112595374', 'Q6186']"
U132,"['Q3142', 'Q174782', 'Q4069404']"
U133,"['Q612540', 'Q7850', 'Q7967551']"
U134,"['Q183245', 'Q99', 'Q188117', 'Q66741638', 'Q4689423', 'Q2490265', 'Q1130557', 'Q65', 'Q576271', 'Q1996948', 'Q71', 'Q3866123', 'Q4653', 'Q83310', 'Q16967387', 'Q93172040', 'Q302', 'Q90', 'Q42184701']"
U135,"['Q208045', 'Q168983', 'Q1350128', 'Q2738884', 'Q2054', 'Q99', 'Q20820889', 'Q93080112']"
U136,"['Q2612000', 'Q44337']"
U137,"['Q12826225', 'Q19866947', 'Q1647282']"
U138,[]
U139,"['Q215562', 'Q4744996', 'Q8463', 'Q846570', 'Q2901371', 'Q1318295', 'Q1075929', 'Q99530375', 'Q19673', 'Q56246492', 'Q5043', 'Q357786', 'Q12826225', 'Q42195452', 'Q119615800']"
U140,"['Q66086', 'Q145', 'Q473252']"
U141,"['Q302', 'Q3778940', 'Q450', 'Q1845']"
U142,['Q208101']
U143,"['Q1668395', 'Q162668', 'Q229059', 'Q35', 'Q223']"
U144,['Q35064']
U145,"['Q1411', 'Q229871', 'Q1371', 'Q298636']"
U146,"['Q933726', 'Q7873', 'Q1747689']"
U147,"['Q1176577', 'Q21475296', 'Q846570']"
U148,"['Q251', 'Q6049553', 'Q15143', 'Q638322']"
U149,"['Q57096', 'Q1151067', 'Q8009', 'Q466587']"
U150,"['Q191086', 'Q159334', 'Q30', 'Q16883357']"
U151,"['Q1932016', 'Q2170752', 'Q21064878', 'Q569678', 'Q1212', 'Q812', 'Q684', 'Q10322965', 'Q726177']"
U152,"['Q11863435', 'Q527', 'Q6674', 'Q159070', 'Q29610', 'Q243', 'Q202570', 'Q100288740', 'Q846570', 'Q4963612', 'Q40791', 'Q163286', 'Q11299', 'Q230788', 'Q60']"
U153,"['Q1553123', 'Q1762298', 'Q1512', 'Q163543', 'Q96184992']"
U154,"['Q1370', 'Q29546864', 'Q23731823', 'Q41225', 'Q84', 'Q42749345', 'Q846570', 'Q310257', 'Q1475036', 'Q25235', 'Q7849873']"
U155,"['Q429948', 'Q733475', 'Q20671646', 'Q3947', 'Q16868672', 'Q571', 'Q104604270']"
U156,"['Q74359', 'Q19809', 'Q136469', 'Q12826225']"
U157,"['Q471898', 'Q283202']"
U158,"['Q211548', 'Q22013701', 'Q150', 'Q9068', 'Q17131', 'Q1860', 'Q184623', 'Q19713409', 'Q692102', 'Q20727059', 'Q738747', 'Q2695156', 'Q711821', 'Q178885', 'Q21513038', 'Q48743432']"
U159,"['Q14159020', 'Q413', 'Q2329', 'Q15437505']"
U160,"['Q684', 'Q19014', 'Q39212', 'Q205365', 'Q313421', 'Q846570', 'Q1735678']"
U161,"['Q83310', 'Q1667498', 'Q48438']"
U162,"['Q25312', 'Q842438', 'Q18156180', 'Q165278', 'Q683', 'Q12788459', 'Q384593', 'Q302186', 'Q16282621', 'Q33923', 'Q2', 'Q302', 'Q178885']"
U163,"['Q41500', 'Q678', 'Q111816536', 'Q1475036', 'Q159545']"
U164,"['Q991202', 'Q571']"
U165,['Q83460']
U166,"['Q20671646', 'Q384188', 'Q810', 'Q14639649', 'Q481809', 'Q16420967', 'Q2408876', 'Q846570', 'Q84764771', 'Q1574910', 'Q10267233', 'Q46', 'Q185696']"
U167,"['Q82464', 'Q30932006', 'Q40131371', 'Q334', 'Q909104', 'Q38859', 'Q465417', 'Q358863', 'Q37444572']"
U168,"['Q2488257', 'Q12791', 'Q7949', 'Q661990', 'Q1249148', 'Q3191891', 'Q95099', 'Q746244']"
U169,"['Q16335379', 'Q212398', 'Q1768667', 'Q1153798', 'Q177414', 'Q8409', 'Q618235', 'Q12576', 'Q366643', 'Q106782813', 'Q892', 'Q571', 'Q473252']"
U170,"['Q11033', 'Q8078', 'Q1111359', 'Q345367']"
U171,"['Q12826225', 'Q19866947', 'Q45100847', 'Q15228', 'Q892', 'Q79734']"
U172,"['Q116258888', 'Q2796']"
U173,['Q287748']
U174,"['Q541194', 'Q1682564']"
U175,['Q5']
U176,['Q7727']
U177,"['Q864928', 'Q1', 'Q42', 'Q1853362', 'Q11707', 'Q44294', 'Q1778168', 'Q2', 'Q637202', 'Q16279095', 'Q19853476', 'Q438214', 'Q47469115']"
U178,"['Q217164', 'Q590252', 'Q20', 'Q7569', 'Q589977', 'Q230']"
U179,"['Q5868822', 'Q332497', 'Q352', 'Q517', 'Q43070', 'Q188205', 'Q8409', 'Q145', 'Q450']"
U180,"['Q1049271', 'Q21073029', 'Q11690', 'Q45581', 'Q6453423']"
U181,"['Q187576', 'Q108140545']"
U182,"['Q74287', 'Q165388', 'Q185737', 'Q892']"
U183,"['Q39715', 'Q40909', 'Q29546864', 'Q515543', 'Q16860468', 'Q5194627', 'Q1370', 'Q60107723', 'Q43999']"
U184,['Q438345']
U185,[]
U186,"['Q2488257', 'Q116546', 'Q25380']"
U187,"['Q145', 'Q5686', 'Q1860', 'Q3316519', 'Q17008755', 'Q19683']"
U188,"['Q15', 'Q92405164', 'Q30', 'Q49085', 'Q36747']"
U189,['Q2917380']
U190,"['Q1055332', 'Q11664467']"
U191,['Q189409']
U192,"['Q74287', 'Q185737', 'Q353659', 'Q45765', 'Q14915267', 'Q892', 'Q15290', 'Q208870']"
U193,"['Q106321353', 'Q318', 'Q42', 'Q613901', 'Q1076157', 'Q191074', 'Q11707', 'Q1']"
U194,"['Q215562', 'Q14295', 'Q41500', 'Q7414']"
U195,['Q21514702']
U196,"['Q158607', 'Q113925598']"
U197,[]
U198,"['Q128799', 'Q783', 'Q37528401']"
U199,"['Q222946', 'Q21507920', 'Q1228440']"
U200,"['Q30', 'Q14125950', 'Q796', 'Q1016', 'Q207', 'Q545449', 'Q1316', 'Q47740', 'Q42295', 'Q40378615', 'Q7204']"
U201,[]
U202,['Q37469540']
U203,"['Q159656', 'Q18125', 'Q362', 'Q188', 'Q184425', 'Q37478147']"
U204,['Q15861123']
U205,"['Q978770', 'Q12267699']"
U206,"['Q846570', 'Q624852', 'Q27711929']"
U207,"['Q14317024', 'Q28487379', 'Q5760575', 'Q59018749', 'Q981267', 'Q1439', 'Q16551', 'Q25408575', 'Q5271607', 'Q116713161', 'Q211029', 'Q2210713', 'Q460173']"
U208,"['Q74359', 'Q892', 'Q185737', 'Q46302']"
U209,"['Q114526443', 'Q876323', 'Q1032957', 'Q359385']"
U210,"['Q64699672', 'Q9820', 'Q43999', 'Q85763457', 'Q1158580', 'Q2934', 'Q453980']"
U211,"['Q987767', 'Q48745', 'Q9696', 'Q37230', 'Q179497', 'Q5210570']"
U212,"['Q684', 'Q39212', 'Q10978', 'Q18339218', 'Q1091172']"
U213,['Q3131572']
U214,['Q575']
U215,"['Q846570', 'Q145']"
U216,"['Q83198277', 'Q87471784', 'Q149757']"
U217,"['Q23413', 'Q1053973', 'Q18180444', 'Q18147196', 'Q136127']"
U218,['Q1932016']
U219,"['Q10852903', 'Q335011', 'Q32504', 'Q106039', 'Q179461', 'Q1066990', 'Q107358', 'Q44015', 'Q40843', 'Q9592', 'Q169789', 'Q35032', 'Q929140', 'Q1845', 'Q48006', 'Q34670', 'Q9364', 'Q154145', 'Q5043', 'Q30', 'Q38066', 'Q178885', 'Q76548', 'Q5290854', 'Q550146', 'Q302', 'Q41', 'Q190']"
U220,"['Q3947', 'Q4944660', 'Q15989253']"
U221,"['Q33923', 'Q625743', 'Q388', 'Q473252', 'Q2283', 'Q568234']"
U222,"['Q467', 'Q23397', 'Q2127728', 'Q623732', 'Q65', 'Q3568811']"
U223,"['Q683321', 'Q128560', 'Q35758', 'Q56245633', 'Q1075929', 'Q878607', 'Q3215140', 'Q258', 'Q37058425', 'Q12898216', 'Q211029', 'Q302']"
U224,"['Q82464', 'Q30875']"
U225,['Q145']
U226,"['Q34687', 'Q34442', 'Q8436', 'Q652']"
U227,"['Q864928', 'Q1342838', 'Q133492', 'Q1410542', 'Q152002', 'Q822', 'Q948']"
U228,"['Q3399716', 'Q183816', 'Q49845', 'Q96078753', 'Q161775', 'Q19672745', 'Q1860', 'Q17118025']"
U229,"['Q3039361', 'Q230788', 'Q17151604', 'Q180573', 'Q179637', 'Q172640', 'Q1858', 'Q462964', 'Q88454811', 'Q7755195', 'Q5401576', 'Q105253517', 'Q819', 'Q30']"
U230,"['Q750553', 'Q8007', 'Q35637', 'Q30', 'Q747691', 'Q733', 'Q155', 'Q34302', 'Q3783', 'Q10470081']"
U231,"['Q199804', 'Q411924', 'Q46', 'Q3132855', 'Q23434', 'Q692']"
U232,[]
U233,"['Q16385485', 'Q134307', 'Q215627', 'Q6161245', 'Q6726290', 'Q5686', 'Q84', 'Q90', 'Q150', 'Q43193', 'Q1865480', 'Q842438', 'Q1860', 'Q83267', 'Q186361', 'Q186889', 'Q34670']"
U234,"['Q935894', 'Q747691', 'Q33767', 'Q30']"
U235,"['Q2714901', 'Q106039', 'Q289957', 'Q9268', 'Q122035', 'Q49568', 'Q1845']"
U236,"['Q211503', 'Q188851', 'Q479505', 'Q93859177', 'Q788480']"
U237,"['Q481201', 'Q1996375', 'Q8261', 'Q1142885', 'Q25505093', 'Q40']"
U238,"['Q206357', 'Q157376', 'Q36402']"
U239,"['Q272076', 'Q246693', 'Q3010', 'Q21498085', 'Q8337']"
U240,"['Q1249148', 'Q23298', 'Q69488']"
U241,"['Q494367', 'Q24265327', 'Q2736', 'Q596953', 'Q190618', 'Q364415']"
U242,"['Q1541047', 'Q37305776', 'Q106039', 'Q875490']"
U243,"['Q10978', 'Q79871', 'Q39212']"
U244,"['Q40435', 'Q864928', 'Q1792644', 'Q7297945', 'Q84', 'Q12199', 'Q571']"
U245,"['Q186361', 'Q7737', 'Q1046852', 'Q5606846', 'Q934089', 'Q178885', 'Q83155', 'Q165318', 'Q5428', 'Q302', 'Q1860', 'Q105730302', 'Q57083161']"
U246,"['Q12439', 'Q18617002']"
U247,"['Q571', 'Q23567', 'Q7110994', 'Q1475036', 'Q9184', 'Q38970', 'Q815608', 'Q1068487', 'Q120105', 'Q11831']"
U248,"['Q39816', 'Q240211']"
U249,"['Q19809', 'Q1159']"
U250,"['Q16870847', 'Q34038', 'Q62955', 'Q76016918', 'Q664']"
U251,"['Q190258', 'Q1762621']"
U252,"['Q188117', 'Q3866123']"
U253,[]
U254,"['Q82723', 'Q6864170', 'Q432728', 'Q7429317']"
U255,"['Q48438', 'Q3335', 'Q110530811']"
U256,"['Q74359', 'Q892', 'Q1121020', 'Q7989066', 'Q218728', 'Q19866947']"
U257,"['Q939223', 'Q675872', 'Q1884741']"
U258,"['Q716356', 'Q962', 'Q15', 'Q1444495', 'Q41', 'Q16385825']"
U259,['Q454']
U260,"['Q774306', 'Q20819848', 'Q6542497']"
U261,"['Q185118', 'Q15868042', 'Q114870393', 'Q1428628', 'Q7414']"
U262,['Q2636486']
U263,"['Q345367', 'Q451967']"
U264,"['Q193291', 'Q16423214', 'Q1215']"
U265,[]
U266,"['Q1070284', 'Q12826225', 'Q164294', 'Q7041317', 'Q5113618']"
U267,"['Q671288', 'Q69470957', 'Q1494', 'Q136469', 'Q42857', 'Q1680343']"
U268,['Q82723']
U269,"['Q5113', 'Q88835036', 'Q16210416']"
U270,"['Q12826225', 'Q19866947', 'Q1647282', 'Q892', 'Q12213265']"
U271,"['Q21', 'Q1860', 'Q571', 'Q842438']"
U272,['Q74359']
U273,"['Q1112940', 'Q726177', 'Q55643978', 'Q114538351', 'Q7507580', 'Q2749451', 'Q2522380', 'Q1706651', 'Q812', 'Q2915506', 'Q485186', 'Q8652', 'Q112184738']"
U274,"['Q25308', 'Q145']"
U275,"['Q735', 'Q769843', 'Q876323']"
U276,"['Q61', 'Q1345', 'Q2408876']"
U277,"['Q7323231', 'Q7228768', 'Q150225']"
U278,"['Q1090219', 'Q4167836', 'Q7206385', 'Q165356', 'Q4442389']"
U279,"['Q7949', 'Q1280288', 'Q13973', 'Q1122805']"
U280,"['Q23118', 'Q36348', 'Q37230', 'Q853266', 'Q752111', 'Q14945392', 'Q30', 'Q686223', 'Q610548', 'Q846570', 'Q5172393']"
U281,[]
U282,"['Q43065', 'Q2', 'Q1156970', 'Q111739112']"
U283,['Q278818']
U284,"['Q541194', 'Q36322', 'Q76171663', 'Q5486209', 'Q3056940', 'Q30325721']"
U285,"['Q152357', 'Q846570', 'Q5746330', 'Q43436', 'Q86892948', 'Q21057288', 'Q688596']"
U286,"['Q131351', 'Q574578', 'Q7130425']"
U287,"['Q2531764', 'Q230591', 'Q18122778']"
U288,"['Q105320503', 'Q101849', 'Q37488830', 'Q179461']"
U289,"['Q699405', 'Q3511792']"
U290,"['Q215562', 'Q4744996', 'Q1074911', 'Q846570', 'Q2901371', 'Q30', 'Q1075929', 'Q7257681', 'Q64167681', 'Q7569', 'Q81199269', 'Q302', 'Q34651']"
U291,"['Q109411', 'Q198', 'Q76299', 'Q160020', 'Q12826225', 'Q188']"
U292,"['Q20899051', 'Q15851235']"
U293,"['Q1548123', 'Q20671646']"
U294,"['Q191808', 'Q23572']"
U295,"['Q127149', 'Q1514341', 'Q27601633', 'Q2738811', 'Q846570', 'Q8242', 'Q677', 'Q36591', 'Q9705']"
U296,"['Q40953', 'Q5052885', 'Q235113', 'Q228', 'Q20735603', 'Q178885', 'Q106039', 'Q4604', 'Q3884', 'Q688252']"
U297,"['Q36456', 'Q99517508', 'Q390539', 'Q4572479', 'Q8333', 'Q313377', 'Q41351', 'Q65932', 'Q863143', 'Q49757', 'Q1712140']"
U298,"['Q728646', 'Q56063657']"
U299,[]
U300,"['Q27968', 'Q112440134', 'Q6900329', 'Q36999457']"
U301,['Q5684']
U302,"['Q14915266', 'Q59727783', 'Q2904572', 'Q903318']"
U303,"['Q20738981', 'Q58303338']"
U304,"['Q21449815', 'Q9051800', 'Q859130', 'Q37126924']"
U305,"['Q503354', 'Q5686']"
U306,"['Q10861465', 'Q33923', 'Q18014868', 'Q148', 'Q5287', 'Q668']"
U307,['Q132805']
U308,"['Q371774', 'Q19826472', 'Q11690', 'Q1413']"
U309,"['Q7204', 'Q432', 'Q21590660', 'Q684', 'Q679', 'Q5043', 'Q42418']"
U310,['Q9184']
U311,"['Q12099', 'Q27887162', 'Q1203', 'Q60', 'Q720235', 'Q2723141', 'Q29281', 'Q2649163', 'Q17975', 'Q1970365', 'Q22110046', 'Q37513649']"
U312,"['Q145', 'Q51883323', 'Q1860']"
U313,"['Q11342068', 'Q472228', 'Q37111148', 'Q170534', 'Q221110', 'Q29245', 'Q3976402', 'Q625369', 'Q391101', 'Q13632220', 'Q187349', 'Q4', 'Q1377716']"
U314,"['Q7307', 'Q37154778', 'Q11166731', 'Q7542', 'Q49042', 'Q773765', 'Q19814']"
U315,"['Q23797', 'Q410']"
U316,"['Q5292', 'Q535741', 'Q16236652']"
U317,"['Q6648563', 'Q2', 'Q6453423', 'Q150225', 'Q2267287', 'Q1078487', 'Q41513', 'Q16515248']"
U318,"['Q4', 'Q49476', 'Q12612', 'Q1653083', 'Q348325', 'Q49220', 'Q184674', 'Q160742', 'Q5052491', 'Q5']"
U319,"['Q8261', 'Q65359104', 'Q24564698']"
U320,"['Q3947', 'Q265868']"
U321,"['Q233', 'Q254139', 'Q38', 'Q1860', 'Q362']"
U322,"['Q159', 'Q79854', 'Q8347', 'Q27468']"
U323,"['Q26214163', 'Q178885', 'Q473252', 'Q12826225']"
U324,['Q2917466']
U325,['Q991202']
U326,"['Q222084', 'Q12241622', 'Q114528223', 'Q667982']"
U327,['Q4489450']
U328,"['Q7560', 'Q18922332', 'Q188', 'Q2612000', 'Q49074']"
U329,"['Q18', 'Q5456']"
U330,"['Q12896105', 'Q211005']"
U331,['Q6542551']
U332,"['Q12796', 'Q104475', 'Q12594', 'Q45319725', 'Q489691', 'Q42884']"
U333,['Q3402263']
U334,"['Q238124', 'Q846570', 'Q30', 'Q2468262', 'Q15079344', 'Q16354816']"
U335,"['Q51406', 'Q36322']"
U336,"['Q188', 'Q3010', 'Q7569', 'Q42884', 'Q49542', 'Q28528560', 'Q16957']"
U337,"['Q72334', 'Q8242', 'Q971767', 'Q114775295', 'Q2780711']"
U338,"['Q25107', 'Q76', 'Q16876647', 'Q20994619', 'Q371280']"
U339,"['Q28318104', 'Q25373', 'Q908051']"
U340,"['Q76469', 'Q12791', 'Q7949', 'Q2488257']"
U341,"['Q4942933', 'Q849983', 'Q571', 'Q917848']"
U342,"['Q23118', 'Q9759', 'Q846570', 'Q204711', 'Q633339', 'Q3503037']"
U343,"['Q14317024', 'Q241625', 'Q132821', 'Q37125479', 'Q37276488', 'Q216200', 'Q192776']"
U344,"['Q276453', 'Q1265764', 'Q180857']"
U345,"['Q1492998', 'Q212283', 'Q60661987', 'Q11019', 'Q1018688', 'Q36253', 'Q35059', 'Q3589038', 'Q2199864', 'Q43297']"
U346,"['Q9268', 'Q853927', 'Q34981', 'Q114521803']"
U347,"['Q1151419', 'Q830', 'Q1379672']"
U348,"['Q684', 'Q19014', 'Q39212', 'Q79871', 'Q488125', 'Q200028', 'Q18045796', 'Q69488', 'Q830183', 'Q205365', 'Q16157710']"
U349,"['Q83310', 'Q48438', 'Q20000520', 'Q39212', 'Q52864', 'Q37235095', 'Q767071', 'Q1321']"
