User	Histories	Behaviors
U5731	B22947 B138034 B101239 B165930 B27884 B5849 B14108 B186509 B56165 B19378 B134374 B155929 B13350 B189497 B29697 B15536 B158661 B42858 B170476 B22075 B118777	B16388-0 B139609-0 B29018-0 B66478-0 B130896-0 B158331-0 B147846-0 B152074-0 B147014-0 B53835-0 B138142-0 B37974-0 B180440-0 B102296-0 B128494-0 B72774-0 B62050-0 B138580-0 B73445-0 B141964-0
U435	B85792 B101258 B130908 B180771 B113761 B27661 B13578 B190635	B91982-0 B1121-0 B53358-0 B88469-0 B9582-0 B85379-0 B5490-0 B133308-0 B32752-0 B176314-0 B107334-0 B111909-0 B145279-0 B197052-0 B47547-0 B33748-0 B57292-0 B146011-0 B144052-0 B170993-0
U8102	B67635 B97747 B138275 B101239 B66083 B125903	B88640-0 B106611-0 B126822-0 B151439-0 B137826-0 B117125-0 B179371-0 B119906-0 B200881-0 B116888-0 B147141-0 B21873-0 B69061-0 B100602-0 B123046-0 B63629-0 B161899-0 B111866-0 B208816-0 B32627-0
U511		
U5278	B198976 B63591 B22069 B101258	B49660-0 B36655-0 B133391-0 B96518-0 B189056-0 B99557-0 B67781-0 B122869-0 B53284-0 B133910-0 B207228-0 B85261-0 B32095-0 B113344-0 B54781-0 B200262-0 B128044-0 B194138-0 B27536-0 B138170-0
U9820		
U9717	B39181 B47992 B148458	B190566-0 B148957-0 B134557-0 B38878-0 B43263-0 B128490-0 B8552-0 B1800-0 B168508-0 B73562-0 B154960-0 B39385-0 B69644-0 B100733-0 B21526-0 B148957-0 B186312-0 B97700-0 B163312-0 B169394-0
U4537	B40438 B152514 B28366 B96334 B38649 B68156 B13876 B93629 B7977	B95416-0 B182811-0 B138151-0 B60972-0 B68508-0 B183672-0 B164404-0 B84386-0 B128439-0 B136222-0 B125537-0 B113344-0 B58378-0 B21723-0 B101375-0 B99636-0 B78827-0 B10648-0 B25864-0 B4485-0
U3087	B119066 B22169 B184232	B179438-0 B126622-0 B168646-0 B10455-0 B103070-0 B10806-0 B171346-0 B188182-0 B114767-0 B25601-0 B23535-0 B50353-0 B100163-0 B15123-0 B161241-0 B187415-0 B66799-0 B13511-0 B127252-0 B128348-0
U681	B93742 B153882 B48216 B117598	B164426-0 B211074-0 B157421-0 B200698-0 B191911-0 B143118-0 B196826-0 B49045-0 B190959-0 B92346-0 B112471-0 B127682-0 B3758-0 B136958-0 B102177-0 B26924-0 B148887-0 B110365-0 B195082-0 B149755-0
U7543	B186255 B37858 B29936 B66899 B93086 B119311 B70541 B62516 B164935 B163539 B30860 B178144 B14081 B88408 B45466	B187721-0 B130000-0 B146779-0 B162432-0 B81162-0 B147448-0 B189633-0 B149950-0 B180855-0 B102947-0 B47128-0 B187893-0 B51052-0 B149312-0 B81913-0 B106589-0 B164160-0 B121147-0 B46317-0 B180074-0
U6021	B63153 B114964 B119497	B102970-0 B191149-0 B154380-0 B81378-0 B155734-0 B77256-0 B111985-0 B166277-0 B137665-0 B12780-0 B47888-0 B65784-0 B41256-0 B85488-0 B163667-0 B153437-0 B165936-0 B175321-0 B202810-0 B135774-0
U1170	B114884 B40035 B11314 B151270 B178400 B31964	B197112-0 B52409-0 B538-0 B123429-0 B116836-0 B209720-0 B64388-0 B139565-0 B58168-0 B105031-0 B59532-0 B194320-0 B175284-0 B191845-0 B103346-0 B158438-0 B137964-0 B208839-0 B23267-0 B135755-0
U9593	B63155 B124890 B23092 B195315 B2312	B161346-0 B59253-0 B185171-0 B74381-0 B125556-0 B103146-0 B19103-0 B56667-0 B28065-0 B192024-0 B28644-1 B15990-0 B100836-0 B82579-0 B121158-0 B196328-0 B9361-0 B50099-0 B155459-0 B83562-0
U5585	B139932 B44947 B70679	B136472-0 B142583-0 B167611-0 B130068-0 B184060-0 B30088-0 B66697-0 B169069-0 B86110-0 B27303-0 B116789-0 B75497-0 B29931-0 B64920-0 B72086-0 B87883-0 B177000-0 B143632-0 B119481-0 B66457-0
U6474	B129236 B1160 B129472 B4564 B188940 B96140	B18995-0 B110506-0 B147695-0 B150369-0 B198511-0 B150049-0 B196457-0 B100912-0 B105894-0 B52359-0 B88663-0 B170142-0 B55121-0 B176476-0 B2302-0 B152865-0 B190893-0 B66233-0 B73283-0 B53153-0
U333	B90240 B211455 B133251 B198365 B34120	B206590-0 B131189-0 B60948-0 B124597-0 B21286-0 B5585-0 B118709-0 B75983-0 B177402-0 B183689-0 B108093-0 B168308-0 B123046-0 B154565-0 B156000-0 B55578-0 B42190-0 B84243-0 B142412-0 B126853-0
U1769	B43770 B133521 B19007 B163030 B92578 B27705 B187456 B23092	B8860-0 B148458-0 B58345-0 B135173-0 B169518-0 B15185-0 B172438-0 B99805-0 B2166-0 B156320-0 B91654-0 B134405-0 B71069-0 B183523-0 B111697-0 B146243-0 B75775-0 B182536-0 B80016-0 B48199-0
U5951	B203234 B136687 B72269	B27875-0 B21746-0 B130480-0 B63206-0 B108542-0 B76269-0 B83356-0 B8221-0 B47854-0 B181405-0 B65140-0 B159718-0 B128029-0 B116642-0 B162844-0 B139638-0 B188274-0 B38009-0 B48661-0 B160317-0
U9209	B19604 B49255 B129553 B18129	B111970-0 B52275-0 B68874-0 B198703-0 B130215-0 B207103-0 B35249-0 B110098-0 B91637-0 B116497-0 B183417-0 B202538-0 B110001-0 B117656-0 B111950-0 B95246-0 B57610-0 B161748-0 B152809-0 B119837-0
U5078	B25085 B96997 B134452	B42259-0 B151966-0 B46936-0 B206950-0 B855-0 B60388-0 B141558-0 B202658-0 B2974-0 B171325-0 B62638-0 B160042-0 B211530-0 B99414-0 B72656-0 B27338-0 B41203-0 B54094-0 B108134-0 B143013-0
U8703	B12714 B13350 B13466 B8860 B203097 B7696	B55555-0 B150454-0 B197163-0 B61175-0 B15494-0 B136170-0 B96175-0 B2360-0 B174812-0 B66096-0 B116864-0 B26091-0 B53174-0 B130915-0 B28177-0 B203766-0 B204609-0 B127257-0 B68773-0 B19621-0
U2539	B121802 B22075 B153704 B6755 B204940	B15870-0 B162116-0 B207187-0 B13807-0 B30811-0 B116959-0 B21873-0 B180640-0 B13796-0 B41065-0 B184545-0 B172226-0 B141268-0 B186456-0 B152537-0 B59444-0 B166411-0 B193567-0 B177811-0 B58922-0
U9824	B166253 B147141 B131528 B15642 B28935 B164892 B71807 B9637 B35937 B87843 B76646	B101518-0 B29497-0 B111898-0 B186792-0 B174265-0 B91630-0 B170808-0 B30229-0 B129000-0 B210991-0 B81903-0 B204701-0 B153679-0 B1834-0 B186255-0 B188199-0 B97579-0 B57445-0 B176755-0 B15017-0
U6987	B36453 B151665 B166427 B138170 B199338 B1576 B183947 B32686 B12773 B171746 B122947 B11508 B115687 B166281	B96575-0 B90797-0 B176395-0 B39954-0 B75112-0 B34678-0 B11371-0 B97811-0 B183220-0 B108698-0 B209938-0 B103810-0 B101586-0 B175489-0 B24424-0 B105894-0 B191285-0 B20379-0 B4383-0 B13894-0
U823	B113220 B43182 B166365	B188158-0 B196826-0 B118329-0 B122898-0 B8977-0 B154844-0 B53540-0 B76316-0 B88790-0 B123223-0 B101766-0 B94180-0 B197824-0 B150734-0 B181962-0 B66478-0 B29430-0 B74977-0 B127252-0 B86814-0
U8483	B49403 B95654 B149106 B195983 B25903 B64655	B182283-0 B182554-0 B76646-0 B207379-0 B23176-0 B205411-0 B78956-0 B121887-0 B125296-0 B39866-0 B78524-0 B107100-0 B171782-0 B81756-0 B24578-0 B161985-0 B79502-0 B71178-0 B16904-0 B55555-0
U7910	B87211 B159259 B48569	B100602-0 B206950-0 B191279-0 B164241-0 B74463-0 B14843-0 B163940-0 B38278-0 B101124-0 B172084-0 B170935-0 B154124-0 B155889-0 B26615-0 B124082-0 B156803-0 B66711-0 B7457-0 B25561-0 B682-0
U8404	B181983 B189007 B196830 B148287	B16890-0 B104788-0 B151244-0 B91920-0 B20441-0 B118448-0 B172723-0 B98959-0 B111830-1 B187352-0 B103196-0 B196786-0 B60761-0 B92591-0 B209938-0 B131847-0 B46852-0 B150854-0 B99700-0 B90136-0
U6428	B39029 B59427 B197748 B16434	B1003-0 B208157-0 B170854-0 B106214-0 B51016-1 B138854-0 B34182-0 B197902-0 B166076-0 B46080-0 B70094-0 B185399-0 B103372-0 B104864-0 B207788-0 B194762-0 B97545-0 B143433-0 B156542-0 B179746-0
U1157	B163754 B12814 B56326 B104441	B72086-0 B57628-0 B14025-0 B154766-0 B131847-0 B117486-0 B81422-0 B170372-0 B130458-0 B101153-0 B117920-0 B189421-0 B68042-0 B187027-0 B73445-0 B161995-0 B33352-0 B158559-0 B113161-0 B137908-0
U9487	B168547 B79256 B184931 B123660 B152977 B200877 B22278 B208762 B5445 B40398 B156500 B104742 B160929	B18802-0 B52462-0 B107604-0 B17540-0 B69113-0 B6028-0 B16901-0 B8063-0 B130467-0 B22751-0 B69517-0 B153947-0 B51997-0 B113653-0 B110829-0 B211170-0 B98956-0 B68358-0 B7791-0 B124548-0
U1644	B164108 B146231 B97067 B71264	B104555-0 B150356-0 B145114-0 B187856-0 B52153-0 B155836-0 B95489-0 B104795-0 B159653-0 B40777-0 B167134-0 B94013-0 B15431-0 B54843-0 B33714-0 B1003-0 B131053-0 B56845-0 B189088-0 B193918-0
U1234	B21470 B89434 B50032 B79818 B56280 B80304 B152159	B192024-0 B74137-0 B163516-0 B180971-0 B180093-0 B120021-0 B37399-0 B156156-0 B161955-0 B104441-0 B10937-0 B44462-0 B121691-0 B121341-0 B32327-0 B7448-0 B77372-0 B56794-0 B92807-0 B53022-0
U659	B188531 B108065 B49677 B106705 B150480 B104809 B74711 B51097 B152857 B157233 B41251 B48652 B36427 B85871 B171863 B184689 B152527 B96886 B20024 B189497	B184686-0 B44477-0 B48086-0 B17395-0 B102034-0 B18784-0 B407-0 B159259-0 B111967-0 B44584-0 B176314-0 B99336-0 B42858-0 B33094-0 B185946-0 B36816-0 B28690-0 B111520-0 B153908-0 B122855-0
U3839	B184505 B174812 B124082	B10225-0 B20124-0 B62394-0 B24238-0 B122667-0 B80325-0 B127039-0 B202755-0 B50825-0 B7287-0 B42051-0 B67325-0 B151262-0 B191446-0 B20993-0 B104838-0 B201267-0 B29863-0 B73010-0 B179097-0
U577	B142160 B164620 B52308	B59842-0 B170469-0 B46799-0 B18545-0 B177416-0 B7337-0 B132778-0 B166699-0 B197116-0 B28590-0 B27725-0 B143543-0 B212192-0 B48525-0 B162685-0 B113569-0 B94137-0 B139710-0 B186836-0 B148954-0
U7950	B37905 B156030 B48172 B200950 B32628 B88133 B29290	B196309-0 B110179-0 B57846-0 B192072-0 B130906-0 B162432-0 B150933-0 B30229-0 B34569-0 B62633-0 B58563-0 B171464-0 B108206-0 B34533-0 B158870-0 B168087-0 B65095-0 B20511-0 B47429-0 B189282-0
U6464	B151262 B122782 B188278 B91257	B156959-0 B72295-0 B135872-0 B205080-0 B34569-0 B185730-0 B199777-0 B77962-0 B194712-0 B86019-0 B37858-0 B141603-0 B72295-0 B200698-0 B29018-0 B48977-0 B103810-0 B71029-0 B75380-0 B26519-0
U3014	B153970 B171862 B150772 B21248	B41445-1 B159531-0 B21168-0 B58918-0 B170475-0 B65506-0 B73749-0 B123237-0 B166269-0 B155889-0 B191911-0 B208938-0 B202456-0 B149523-0 B129192-0 B200503-0 B170600-0 B183907-0 B211356-0 B155968-0
U1732	B147960 B159763 B169160	B65506-0 B138758-0 B30897-0 B195811-0 B46386-0 B185311-0 B102980-0 B53185-0 B142591-0 B127520-0 B10260-0 B141159-1 B140375-0 B69143-0 B71714-0 B115687-0 B4177-0 B88303-0 B168578-0 B4936-0
U5799	B164476 B60454 B161346 B1521 B9206 B106334 B149523 B157863	B11924-0 B192598-0 B50229-0 B14025-0 B58149-0 B13145-0 B37688-0 B43167-0 B168252-0 B123206-0 B194138-0 B98888-0 B165199-0 B18458-0 B53303-0 B166269-0 B181511-0 B198944-0 B185288-0 B40267-0
U995	B67917 B110829 B153034 B207084 B116827	B42969-0 B144419-0 B179026-0 B116233-0 B77680-0 B195911-0 B25335-0 B33036-0 B162100-0 B793-0 B201356-0 B129231-0 B44546-0 B23092-0 B8977-0 B108895-0 B90880-0 B81599-0 B183634-0 B149756-0
U3446	B104086 B36493 B119132 B196328	B9758-0 B212200-0 B202146-0 B21747-0 B35200-0 B175823-0 B177226-0 B183931-0 B71460-0 B88229-0 B190349-0 B40389-0 B5896-0 B176542-0 B14851-0 B51548-0 B42476-0 B18993-0 B5126-0 B56470-0
U3543	B30141 B15228 B81881 B28996 B111118	B21470-0 B879-0 B25270-0 B95537-0 B128872-0 B95606-0 B108542-0 B188992-0 B168709-0 B153947-0 B7791-0 B68742-0 B202810-0 B133249-0 B19343-0 B103521-0 B148837-0 B173781-0 B163242-0 B168427-0
U8830	B65047 B180988 B59882	B126992-0 B183908-0 B5146-0 B14456-0 B84243-0 B22856-0 B36853-0 B108089-0 B64389-0 B21159-0 B207198-0 B47452-0 B111373-0 B160060-0 B95560-0 B145985-0 B134884-0 B197101-0 B123508-0 B68913-0
U1603	B73531 B167462 B147822 B113858 B29850	B77143-0 B22233-0 B65961-0 B754-0 B88133-0 B68358-0 B50547-0 B103223-0 B70648-0 B202415-0 B105473-0 B83558-0 B140013-0 B93469-0 B166885-0 B7924-0 B71629-0 B108222-0 B40344-0 B170333-0
U4171	B23243 B126126 B41399	B114412-0 B10600-0 B138914-0 B42004-0 B48661-0 B49440-0 B41256-0 B104795-0 B153550-0 B132196-0 B11838-0 B99133-0 B188458-0 B149914-0 B55503-0 B139309-0 B56207-0 B189421-0 B32167-0 B119215-0
U9779	B145002 B91630 B134671	B15485-0 B90910-0 B162056-0 B205455-1 B140072-0 B98999-0 B61417-0 B65321-0 B24389-0 B112274-0 B36926-0 B87857-0 B134445-0 B133028-0 B177902-0 B162841-0 B19584-0 B74711-0 B150912-0 B121076-0
U1143	B18567 B120807 B105748 B153704	B82386-0 B40063-0 B22734-0 B109122-0 B187471-0 B71190-0 B25529-0 B120678-0 B134905-0 B49477-0 B14581-0 B105761-0 B179097-0 B118634-0 B35945-0 B14831-0 B105328-0 B134283-0 B48729-0 B186570-0
U3503	B150772 B29058 B115209 B153970 B165643 B23174 B50190	B209444-0 B145789-0 B27884-0 B2439-0 B37490-0 B205515-0 B120933-0 B153818-0 B1915-0 B200608-0 B88356-0 B166158-0 B77372-0 B147584-0 B44624-0 B67532-0 B53444-0 B203048-0 B140054-0 B88273-0
U1333	B111520 B113290 B156555 B146248 B117979 B21522 B180483	B156418-1 B91349-0 B55852-0 B146760-0 B50687-0 B17349-0 B64226-0 B62358-0 B29816-0 B183195-0 B82154-0 B140408-0 B201081-0 B72810-0 B138582-0 B143428-0 B88790-0 B160854-0 B163158-0 B102211-0
U7746	B29936 B196888 B171861 B185924 B197377 B109852	B71756-0 B108229-0 B68663-0 B174410-0 B176286-0 B139956-0 B104809-0 B181424-0 B135155-0 B162056-0 B181220-0 B40131-0 B179746-0 B89688-0 B156481-0 B88532-0 B84974-0 B190251-0 B27349-0 B53408-0
U186	B118224 B123163 B132987	B136958-0 B183417-0 B105871-0 B14831-0 B198365-0 B139661-0 B208491-0 B51203-0 B196090-0 B8808-0 B40952-0 B36232-0 B154659-0 B87124-0 B154660-0 B4485-0 B162136-0 B28304-0 B200-0 B53965-0
U8698	B191847 B73075 B80022 B160968	B97780-0 B113564-0 B186882-0 B149995-0 B62892-0 B153660-0 B50657-0 B125171-0 B74193-0 B92120-0 B41942-0 B160027-0 B20481-0 B59495-0 B121472-0 B99848-0 B52835-0 B168313-0 B99454-0 B43105-0
U1254	B62478 B183443 B143515	B133445-0 B131085-0 B138751-0 B160844-0 B136475-0 B169065-0 B183750-0 B60729-0 B13602-0 B60944-0 B113167-0 B94244-0 B35006-0 B148287-0 B145099-0 B165808-0 B174965-0 B72430-0 B26591-0 B189497-0
U1353	B37996 B91115	B32627-0 B183758-0 B85488-0 B154988-0 B3203-0 B49046-0 B97617-0 B209300-0 B74628-0 B98321-0 B89815-0 B54153-0 B36427-0 B84316-0 B9758-0 B204154-0 B145207-0 B2302-0 B59871-0 B36469-0
U2411	B188345 B53559 B106295	B134557-0 B198954-0 B183693-0 B186255-0 B9892-0 B163204-0 B112814-0 B99602-0 B193176-0 B158326-0 B101643-0 B188992-0 B116919-0 B150416-0 B145827-0 B52219-0 B107187-0 B189461-0 B169108-0 B134091-0
U2740	B73267 B54727 B145097 B185305 B164642	B142487-0 B17201-0 B32921-0 B20667-0 B40520-0 B92015-0 B56656-0 B56280-0 B96623-0 B103521-0 B149293-0 B207198-0 B142832-0 B37996-0 B67635-0 B95806-0 B57510-0 B202093-0 B47860-0 B42570-0
U5872	B153970 B115209 B29058	B132630-0 B193176-0 B71887-0 B108985-0 B20796-0 B154224-0 B177685-0 B94354-0 B131356-0 B165936-0 B105913-0 B83243-0 B119918-0 B84974-0 B38092-0 B3008-0 B58378-0 B108320-0 B53931-0 B130506-0
U4762	B201395 B46064 B15228 B57275 B84036 B146859	B6432-0 B59383-0 B89434-0 B194373-0 B70061-0 B57560-0 B146189-0 B51016-0 B141190-0 B150157-0 B111682-0 B126687-0 B153616-0 B10131-0 B141558-0 B130493-0 B186056-0 B175763-0 B138918-0 B172050-0
U5962	B156997 B76558 B111830 B161499	B95720-0 B47993-0 B52763-0 B16388-0 B189661-0 B105468-0 B133613-0 B76253-0 B146145-0 B199791-0 B66219-0 B51263-0 B36631-0 B111950-0 B189055-0 B154527-0 B59572-0 B15349-0 B196367-0 B112138-0
U7265		
U609	B68118 B149995 B71585 B170372	B129050-0 B170899-0 B105741-0 B46936-0 B178026-0 B206053-0 B30543-0 B5064-0 B107024-0 B74064-0 B66478-0 B198549-0 B206053-0 B186360-0 B6589-0 B48425-0 B47128-0 B19103-0 B124136-0 B138975-0
U4825	B51097 B25216 B132356 B163534 B7337	B199832-0 B150933-0 B155734-0 B98293-0 B183263-0 B1784-0 B64362-0 B108320-0 B149106-0 B152509-0 B179863-0 B200-0 B180415-0 B79294-0 B51505-0 B191583-0 B28326-0 B96623-0 B138482-0 B165120-0
U446	B40110 B27503 B84036 B18869 B208762 B21928	B16904-0 B71264-0 B117183-0 B125564-0 B166706-0 B157022-0 B141172-0 B14130-0 B140739-0 B58329-0 B130-0 B196211-0 B160100-0 B76658-0 B146603-0 B137908-0 B43116-0 B28365-0 B99477-0 B52843-0
U2747	B182022 B208523 B63427 B144302 B98720	B196936-0 B57371-0 B88881-0 B202004-0 B104903-0 B180074-0 B117899-0 B108358-0 B101942-0 B35652-0 B189017-0 B155306-0 B22903-0 B5067-0 B91335-0 B163341-0 B109507-0 B200979-0 B64751-0 B120908-0
U6473	B211356 B122782 B203278 B184172 B93811 B2721 B96853 B93244 B42802 B21873 B192474	B154766-0 B55810-0 B168122-0 B86002-0 B46693-0 B43436-0 B177244-0 B50434-0 B3203-0 B178700-0 B57027-0 B36996-0 B11562-0 B123774-0 B104362-0 B102018-0 B139461-0 B64388-0 B76712-0 B171521-0
U212	B62325 B133068 B167073 B14859 B186661 B158326 B21873	B35831-0 B125818-0 B144760-0 B102868-0 B207527-0 B48998-0 B159705-0 B3950-0 B117486-0 B139080-0 B146859-0 B189546-0 B161626-0 B23138-0 B103903-0 B138823-0 B72413-0 B100124-0 B58799-0 B117069-0
U5137	B14863 B121952 B48156	B142450-0 B131822-0 B144055-0 B8287-0 B28078-0 B209012-0 B29521-0 B113132-0 B4700-0 B69539-1 B44020-1 B129587-0 B150928-0 B15642-0 B24075-0 B128178-0 B72295-0 B188266-0 B157452-0 B170372-0
U6888	B33673	B6028-0 B142333-0 B33701-0 B29344-0 B30671-0 B159786-0 B94846-0 B17553-0 B94798-0 B90463-0 B136718-0 B150734-0 B166256-0 B133399-0 B78692-0 B27909-0 B118004-0 B105506-0 B68357-0 B74548-0
U4803	B139317 B11068 B151175 B52751 B87471 B1521 B170476 B53055 B139451 B209133	B113191-0 B121054-0 B170755-0 B190893-0 B55785-0 B13631-0 B121333-0 B105813-0 B85871-0 B192890-0 B14130-0 B150937-0 B119189-0 B73871-0 B39385-0 B134997-0 B18784-0 B178154-0 B22190-0 B105674-0
U4906	B164076 B191371 B29430 B157793 B177234 B89143	B87481-0 B149423-0 B30513-1 B150267-0 B9110-0 B204205-0 B52219-0 B134684-0 B186848-0 B75401-0 B201137-0 B182934-0 B57272-0 B207877-0 B151935-0 B137745-0 B69004-0 B117525-1 B100263-0 B171746-0
U5002	B146242 B41215 B109500 B137750 B163828	B141588-0 B3331-0 B177181-0 B1274-0 B162843-0 B165577-0 B169160-0 B191509-0 B111890-0 B75681-0 B210260-0 B20447-0 B53358-0 B66655-0 B127268-0 B17495-0 B55787-0 B141332-0 B180640-0 B107296-0
U6934	B176587 B150841 B175955 B115209 B167515 B175481 B154041 B211455 B142481 B31522	B6544-0 B205544-0 B65480-0 B94392-0 B25681-0 B60155-0 B108320-0 B78827-0 B38468-0 B168220-0 B46482-0 B191279-0 B59549-0 B111634-0 B79501-0 B100974-0 B150896-0 B19568-0 B16911-0 B63133-0
U9590	B175823 B131894 B95246 B146231	B124449-0 B157498-0 B174787-0 B153679-0 B195702-0 B169235-1 B20482-1 B113677-0 B165490-0 B196118-0 B41938-0 B163204-0 B150809-0 B148218-1 B108152-0 B59012-1 B14674-0 B184534-0 B161559-0 B76785-1
U4576	B166281 B143872 B164160 B128821 B164108 B45014	B89763-0 B161258-0 B89382-0 B115613-0 B154704-0 B169869-1 B126882-0 B140458-0 B129236-0 B139432-0 B58830-0 B121657-0 B1668-0 B5292-0 B37974-0 B186814-0 B133251-0 B69013-0 B202538-0 B59405-0
U3959	B184545 B80457 B158740 B147822 B148837 B102381 B125409	B185777-1 B184709-0 B159274-0 B28445-0 B153361-0 B110829-0 B55341-0 B200285-0 B141719-0 B53408-0 B35954-0 B39862-0 B117530-0 B147948-0 B161037-0 B133326-0 B34258-0 B71756-0 B109311-0 B206941-0
U4298	B43987 B40162 B208176 B122269 B201506 B67294 B164815 B190251	B47049-0 B124548-0 B92241-0 B133173-0 B177226-0 B155170-0 B143923-0 B111068-0 B116186-0 B46162-1 B41213-0 B6939-0 B78123-1 B150896-0 B198187-0 B157391-0 B198405-0 B104767-0 B135854-0 B122873-0
U8451	B116263 B163778 B2721 B164642 B37024 B16352 B102864 B161899	B19556-0 B151551-0 B96041-0 B196703-0 B37996-0 B198214-0 B51180-0 B27429-0 B1747-0 B148955-0 B55549-0 B110506-0 B78932-0 B63435-0 B10260-0 B168787-0 B190616-0 B189558-0 B186848-0 B132871-0
U5051	B128129 B43865 B182227 B193124 B207350 B19798 B148837	B20902-0 B42387-0 B12620-0 B133446-0 B34644-0 B116670-0 B97047-0 B146714-0 B84974-0 B195679-0 B148736-0 B103189-0 B195983-0 B157546-0 B163825-0 B171452-0 B59262-0 B17622-0 B120324-0 B2780-0
U4095	B46826 B73577	B25002-0 B19108-0 B112831-0 B179189-0 B55503-0 B132447-0 B128601-0 B76712-0 B117615-0 B137272-0 B164325-0 B208536-0 B200346-0 B99502-0 B196090-0 B135575-0 B183582-0 B174158-0 B33097-0 B47934-0
U7433	B22740 B153611 B52620 B156911	B110824-0 B70748-0 B111013-0 B21619-0 B188701-0 B97593-0 B151175-0 B34258-0 B59223-0 B102058-0 B58953-0 B33784-0 B177226-0 B92970-0 B28365-0 B39217-0 B189784-0 B76922-0 B114731-0 B152977-0
U404	B162987 B130863 B116380 B175433 B189302	B138157-0 B152857-0 B140710-0 B178400-0 B44624-0 B171120-0 B21771-0 B132447-0 B14044-0 B107176-0 B105297-0 B154865-0 B150937-0 B166513-0 B148353-0 B23598-0 B136790-0 B23176-0 B142688-0 B45543-0
U2229	B185912 B9333 B48216 B129997 B152823 B115559 B68357 B90136 B153695 B137272 B185073 B151439 B65103 B147394 B5369 B47965 B118934 B186570	B143419-0 B186096-0 B29697-1 B46912-0 B201314-0 B137968-0 B39638-0 B139663-0 B122936-0 B208762-0 B4525-0 B27300-0 B137665-0 B140759-0 B167874-0 B152250-0 B99336-0 B34701-0 B198214-0 B185920-0
U308	B85453 B8977 B14108	B9599-0 B39657-0 B55632-0 B51282-0 B185684-0 B59303-0 B53243-0 B17205-0 B39767-0 B37399-0 B37748-0 B9637-0 B116781-0 B107334-0 B102136-0 B151065-0 B102968-0 B156536-0 B7409-0 B123985-0
U5185	B771 B169164 B88532 B117861 B211074	B54630-0 B26157-0 B154960-0 B86242-0 B37353-0 B170201-0 B109365-0 B119146-0 B123152-0 B39954-0 B92675-0 B67686-0 B186176-0 B19184-0 B146678-0 B193176-0 B11371-0 B124073-0 B65140-0 B108850-0
U6613	B148837 B189629 B136472 B155268 B132299 B126398	B771-0 B120582-0 B117673-0 B158339-0 B170899-0 B48055-0 B31632-0 B32627-0 B201510-0 B141396-0 B154844-0 B78231-0 B20579-0 B150400-0 B13434-0 B200275-0 B42190-0 B163847-0 B145994-0 B59085-0
